index,coefficient,magnitude
defendingTeamEmptyNet,4.533790714121266,4.533790714121266
arenaAdjustedShotDistance,-1.7137344603257252,1.7137344603257252
shotType_WRAP,-1.2575800571724145,1.2575800571724145
lastEventCategory_STOP,1.0034260674233977,1.0034260674233977
xCordAdjusted,-0.8305951255824492,0.8305951255824492
shotType_SNAP,0.7001441753793656,0.7001441753793656
lastEventCategory_CHL,0.6941057618804642,0.6941057618804642
shotType_SLAP,0.6481336978011164,0.6481336978011164
lastEventCategory_HIT,-0.44070151547457836,0.44070151547457836
lastEventCategory_FAC,-0.41817142382478867,0.41817142382478867
shotType_WRIST,0.24636745355981163,0.24636745355981163
lastEventCategory_MISS,-0.21888212496449597,0.21888212496449597
lastEventCategory_BLOCK,-0.2164422930269569,0.2164422930269569
lastEventCategory_TAKE,-0.2156117675508389,0.2156117675508389
shotType_TIP,-0.17053642959521506,0.17053642959521506
lastEventCategory_SHOT,-0.16378605661343548,0.16378605661343548
shotType_DEFL,-0.11620598855062678,0.11620598855062678
defendingTeamForwardsOnIce,-0.11578598067843919,0.11578598067843919
defendingTeamDefencemenOnIce,-0.08996884908698968,0.08996884908698968
lastEventCategory_EGT,-0.0799627057190143,0.0799627057190143
shotType_BACK,-0.07051132482644344,0.07051132482644344
yCordAdjusted,-0.0694321396305966,0.0694321396305966
shootingTeamForwardsOnIce,0.059733950264212375,0.059733950264212375
lastEventCategory_GIVE,0.05685076150471361,0.05685076150471361
shootingTeamEmptyNet,-0.05434324409106674,0.05434324409106674
shootingTeamGoals,0.0449169051691703,0.0449169051691703
shotAngle,0.03579359775963994,0.03579359775963994
shooterLeftRight_R,-0.030605149141813504,0.030605149141813504
defendingTeamGoals,-0.028794198101553613,0.028794198101553613
lastEventCategory_DELPEN,-0.021013177038841535,0.021013177038841535
isPlayoffGame,-0.017758469807905172,0.017758469807905172
team_AWAY,-0.013507129978765594,0.013507129978765594
shooterLeftRight_L,0.010416675737382882,0.010416675737382882
shootingTeamDefencemenOnIce,-0.007832924419968378,0.007832924419968378
team_HOME,-0.006681343425512252,0.006681343425512252
distanceFromLastEvent,-0.0034775006512227503,0.0034775006512227503
